Images,Right,Forword,Left
burst3180.png,1,1,1
burst3181.png,1,0,1
burst3182.png,1,0,0
burst3183.png,1,1,1
burst3184.png,1,1,0
burst3185.png,1,1,1
burst3186.png,1,1,1
burst3187.png,1,0,1
burst3188.png,1,0,1
burst3189.png,1,0,0
burst3190.png,1,1,1
burst3191.png,1,1,1
burst3192.png,1,1,1
burst3193.png,1,0,1
burst3194.png,1,0,1
burst3195.png,1,1,1
burst3196.png,1,1,1
burst3197.png,1,1,1
burst3198.png,1,1,1
burst3199.png,1,1,1
burst3200.png,1,1,1
burst3201.png,1,0,1
burst3202.png,0,0,1
burst3203.png,0,0,1
burst3204.png,0,0,1
burst3205.png,0,0,1
burst3206.png,0,0,1
burst3207.png,0,0,1
burst3208.png,1,0,1
burst3209.png,1,1,1
burst3210.png,1,1,1
burst3211.png,1,1,1
burst3212.png,0,1,1
burst3213.png,0,0,1
burst3214.png,0,0,1
burst3215.png,0,0,1
burst3216.png,1,1,1
burst3217.png,1,1,0
burst3218.png,1,0,0
burst3219.png,1,0,0
burst3220.png,1,1,1
burst3221.png,1,1,1
burst3222.png,1,1,1
burst3223.png,1,1,1
burst3224.png,1,1,1
burst3225.png,1,0,1
burst3226.png,0,0,1
burst3227.png,0,0,1
burst3228.png,0,0,1
burst3229.png,0,1,1
burst3230.png,0,1,1
burst3231.png,0,1,1
burst3232.png,0,1,1
burst3233.png,0,0,1
burst3234.png,0,0,1
burst3235.png,0,0,1
burst3236.png,0,0,1
burst3237.png,0,0,1
burst3238.png,0,1,1
burst3239.png,0,0,1
burst3240.png,1,1,1
burst3241.png,1,1,1
burst3242.png,1,1,1
burst3243.png,1,1,1
burst3244.png,1,0,1
burst3245.png,1,1,1
burst3246.png,1,0,1
burst3247.png,1,0,0
burst3248.png,1,0,0
burst3249.png,1,0,0
burst3250.png,1,0,1
burst3251.png,1,0,1
burst3252.png,1,0,1
burst3253.png,1,0,0
burst3254.png,1,1,1
burst3255.png,1,1,1
burst3256.png,0,1,1
burst3257.png,1,1,1
burst3258.png,0,1,1
burst3259.png,1,1,1
burst3260.png,1,1,1
burst3261.png,1,1,1
burst3262.png,0,1,1
burst3263.png,0,0,1
burst3264.png,0,0,1
burst3265.png,0,0,1
burst3266.png,0,0,1
burst3267.png,0,0,1
burst3268.png,0,0,1
burst3269.png,0,0,1
burst3270.png,1,1,1
burst3271.png,1,1,1
burst3272.png,1,1,1
burst3273.png,1,1,1
burst3274.png,1,1,1
burst3275.png,1,1,1
burst3276.png,1,1,1
burst3277.png,1,1,1

